id,tipo_pedido,detalle
-8186370478370867262,Combo Pareja,52.7,"['1xbarbacoa', '1x4 quesos', '1xvino', '1xchampagne', '1xcalamares', '1xcroquetas', '1xtarta de chocolate', '1xtarta de queso']"
6161319125780485036,Combo Familiar,74.8,"['2xmargarita', '2xbarbacoa', '2xagua', '2xcoca-cola', '2xalitas de pollo', '2xpatatas', '4xtarta de queso']"
975088915539717101,Combo Maxi,132.6,"['6 x barbacoa', '6 x agua', '6 x alitas de pollo', '6 x tarta de chocolate']"
3567752512979420753,Menu italiano,23.75,"['1 x 4 quesos', '1 x vino', '1 x calamares', '1 x helado']"
1093003315020958996,Combo Maxi,132.6,"['6 x barbacoa', '6 x agua', '6 x alitas de pollo', '6 x tarta de chocolate']"
2627018816845266632,Combo Maxi,132.6,"['6 x barbacoa', '6 x agua', '6 x alitas de pollo', '6 x tarta de chocolate']"
2835917699225813362,Combo Familiar,74.8,"['2 x margarita', '2 x barbacoa', '2 x agua', '2 x coca-cola', '2 x alitas de pollo', '2 x patatas', '4 x tarta de queso']"
-8733623905587326278,Menu italiano,23.75,"['1 x 4 quesos', '1 x vino', '1 x calamares', '1 x helado']"
2753809741593882668,Combo Pareja,52.7,"['1 x barbacoa', '1 x 4 quesos', '1 x vino', '1 x champagne', '1 x calamares', '1 x croquetas', '1 x tarta de chocolate', '1 x tarta de queso']"
1539610620118741751,Combo Pareja,52.7,"['1 x barbacoa', '1 x 4 quesos', '1 x vino', '1 x champagne', '1 x calamares', '1 x croquetas', '1 x tarta de chocolate', '1 x tarta de queso']"
8093127217785034713,Menu EEUU,22.8,"['1 x barbacoa', '1 x coca-cola', '1 x patatas', '1 x tarta de queso']"
-8034828055804922664,Combo Maxi,132.6,"['6 x barbacoa', '6 x agua', '6 x alitas de pollo', '6 x tarta de chocolate']"
